// Airport Name, ICAO, Latitude, Longitude, Fuel Type, Frequency
Hartsfield-Jackson Atlanta International,ATL,33.6407,-84.4277,AVGAS,121.5
John F. Kennedy International,JFK,40.6413,-73.7781,JA-a,122.8
Charlotte Douglas International,CLT,35.214,-80.9431,Jet-A,127.15
Los Angeles International,LAX,33.942791,-118.410042,Jet-A,119.8
Seattle-Tacoma International,SEA,47.443546,-122.301659,Jet-A1,122.95
Dubai International,DXB,25.252777,55.364445,Jet-A1,119.550
Amsterdam Schipol,AMS,52.3169,4.7459,Jet-A1,118.080
London Heathrow,EGLL,51.468,0.4551,SAF,118.700
